text,cluster
aljazeera can take this rohingya people on their studio and let them stay because they are weak and tired,6
indonesia has helped them alot before br but look what theyre doing now theyre invading us they came illegally more and more brought by unhcr backed up by amnesty international through their minions inside and outside indonesia no country will accept this rebellious people neither ours indonesia is a sovereign country our country our sovereignity we reject rohinya neither welcome nor give em any single piece of our land for them never ever our great grandparents fought and died for defending our country for us our children and future generation not for rohingya 🇮🇩🦅,3
as indian i agree to indonesian people these people come and settle in our country and spread violence under the name of religion,6
we would like to clarify that based on the republic of indonesia presidential decree reg no concerning handling of refugees from overseas as well as immigration law no of article paragraph article paragraphs and rohingya arrival and its method of arrival falls under the category of illegal immigrants and not refugees until proven otherwise simply put they arent under chase etc unlike what had happened to them in the past and fyi indonesia did not sign the ratification of the refugee convention so under international law so we have every right to refuse their arrival especially in recent cases they have been linked to an alleged people smuggling and human trafficking network recently there have been arrests regarding this they first arrived in then in they reportedly started causing serious security problems such as escaping from shelters in aceh etc as well as in the communities where they live in indonesia and malaysia because many of them were and are adult men and economically we simply cant afford it at the very least please interview both sides and not only unhcrs emily bojovic but also an indonesian expert on this phenomenon before publishing it to millions of viewers thank you on one of their recent arrivals in aceh the people on the boat threw food given by local residents into the sea because the local rejected their arrival rightfully so personally that doesnt sounds like what a refugee would do,6
mereka adalah beban negara kamibrrakyat kami masih banyak yang kelaparan bahkan tidak ada rumahbrmereka dengan enaknya datang ke negara kamiminta makan minta uang dan minta tempat tinggalbahkan unhcr minta pulauini sungguh gila bagi kami,1
beter rohingnya stay in usa,5
kenapa bukan negaramu yang menampung mereka 🐕 anjing kau banyak omong tapi tidak mau menampung mereka😏,1
it is the way how to protect our homeland indonesia their attitude so bad so thats why we rejected them we helped them many times in the past but after that they dont respect us dont respect local people and local rules,5
let them in they are your brothers and sisters 🙏🏽,0
pemerintah bangladesh telah mengakomodasi warga negara yang dideportasi dari myanmar ini mereka telah memberikan mereka kesempatan untuk tinggal dari sudut pandang kemanusiaan namun sejak datang ke sini orangorang rohingya ini telah terpecah menjadi beberapa kelompok dan terlibat dalam berbagai kejahatan dan sudah mulai melakukan kejahatan menyiksa warga bangladesh,1
wheres the brother hoods,0
we dont want another quotisraelquot happen here even they all muslim,2
imigran gelap rohingnya tidak tahu rasa terima kasih mereka sering melanggar norma dan aturan adat istiadat warga aceh yang menjalankan syariat islam kalau rohingya adala umat muslim harusnya dia punya adab menghargai aturan yang ada di aceh,1
fk unhcr,0
this people dont respect local people believe me,6
i pray not face such a situation in my life,0
you cant say rohingya are refugees because they came by the method of giving some payment to the human trafficking mafia in bangladesh these are all categorized under illegal immigrants of course as immigrants should not enter an area without clear data such as passports or visas so rohingya are precisely referred to as illegal immigrants on the other hand with palestine or afghanistan they are in a state of war raging please understand before creating a title so that your channel is not considered a channel that has no understanding in this matter,6
kami bersimpati kepada saudara sebangsa dan saudara muslim kami orang aceh semoga tetap kuat untuk menghadapi gempuran orang orang ilegal ini dan selalu diberikan kesabaran dan jangan emosi untuk orang rohingya jangan coba coba kalian datang ke indonesia kalian belum tau kalau rakyat indonesia marah yaa,1
as an indonesia were very displeased and disturbed with rohingya refugees despite our attempt of giving them food and shelter they throw them out to the sea and complaining about the food,5
bakar aja kapal meraka bg kita hdp mau makan nassi piring aja susah mau tampung meraka lagi kita kebanjiran kena seroja bantua indomie telur makan sampe tumbu bisul meraka enak saja mkn ayam sayur lagi nasinya kurang lagi coba meraka sandar di ntt sampe langsung kita bakar,1
bakar kapal meraka aja bg,0
this is not a burmese problem it is not a british problem and it is only an indonesian problem and a malaysian problem in as much as they follow the same religion it is an islamic problem the rohingya never bothered to learn burmese or any of the other indigenous languages of myanmar they never integrated with the country and they persistently agitated for an islamic state in rakhine state which is clearly unacceptable to the majority therebrbr furthermore they have failed to practice birth control in the camps which is why they are so overcrowded several hundred thousand rohingya were born in the camps brbrtheir language is closely related to the chittagong language in bangladesh and they are culturally similar to bangladeshis one of the very few things that most of the warring factions in myanmar agree in is that they agree with the removal of the rohingyathe only two viable options are that they are integated into bangladeshi society with financial support from the islamic world or they are relocated to islamic countries,6
ngapain kayak gini enakan nyamar jadi pengungsi seperti orang bangladesh yang miskin moral serta miskin senyum modal naik perahu tanpa identitas di kasih tempat tinggal gratis makan kali sehari uang bulanan juta tanpa kerja bahkan kabarnya mau dikasih pulaubrwalaupun makanan nya ga cukup tapi emang dia rakus 😂,1
kami warga indonesia masyarakat indonesia gak mengijinkan ada pengusi di indonesia sampai kiyamat sekalipun kami warga indonesia ga akan ijinkan ada pengungsi luar masuk indonesia ingat itu,1
when europeans protest this behavior the are called racist when asians protest this we call it common sense got to love those double standards,0
usirrr keluar nkri,0
