text,cluster
budha myanmar teroris,1
apa pun itu sejarahnya kuta tidak bole menerimah mereka etnis ini negara sudah penuh masalah jgn di tambah lagi mentang mentang se iman kita langsung tampung mereka dan akhirnya ber efek buruk pd kehidupan sosial kitasudah jgn mabuk agama lagibuka mata kita melihat pengalaman negara yg semula menampung mereka semakin hari menjadi sembraut,1
km umat islam carikan solusi rohingnya kl ngomong aja sana sini cuman pidato,1
org tdk tau brsukur,1
dilihat cara berpakaian sebagian mereka serba hitam suka membuang makanan dan minuman yang diberikan dan tidak tahu syahadat mereka adalah syiah agama lokal yang diimodifikasi dengan aksesori namanama ali dan keturunan nya cara hidupnya mirip dengan orang farsipersia yang tidak mau beradaptasi dengan bangsa lain jadi kehidupan quotmerekaquot berbeda dengan aturan hidup orang islam 😊,1
hidup di tengah laut aja di atas perahu,1
trimksih atas penjelsanyasmga istadz sehat slalu,1
di tunggu part nya pak ust,1
menhan mana menhanbrkok bisa mereka masuk lewat laut brgimana mau menjaga nkri dari pasukan perang jika gini aja malah goyang gemoy wae malah makan siang dan nenen wae malah hutang buat beli alutista aja besar tp gak mutuuuuubrbrgumay gemoy gak puguh gayabrusam asem sulfatbrrohingnyaliat sejarahbisrael yg dikasih daerah oleh palestinbrsemua ulah inggris brkembalikan rohingya kebiangnya indiainggrisbrbringat resolusi jihadbrdi surabaya inggris dibantu suku dari indiabrbrhati mau pemilubrjangan sampai mereka terdaftarbratau menjadi momok huru hara di nkribrbrmenhan harus mundur jika punya malubrganti sama bu susi,1
y,1
coba mikirnya warga nya sendiri,1
mungkin dikasih pulau aja gitu pulau² tk berpenghuni biar mereka buat penduduk sendiri,1
ini gambaran orang rohingya tak bisa bersosialisasu dengan orang senegaranya,0
ingat pendatang asing datang menjajah ke negara kita indonesia,0
hak asasi manusia di myanmar telah mati,1
a hrefhttpwwwyoutubecomresultssearchqueryusirrohingyausirrohingyaabra hrefhttpwwwyoutubecomresultssearchquerybubarkanunhcrbubarkanunhcra,1
ini sah kesalahan keputusan pemerintahan myanmar beda dengan kita semua etnis hidup rukun dan damai,1
indonesia banyak macam agama warga indonesia bisa hidup bersama sama saling menghormati rohingya jangan kalian anggap masuk negara ini karena sesama muslim kalian menghormati kebersamaan di negara mu saja tidak bisa bagai mana kalian ingin menetap disini,0
pemerintah indonesia masih dungo gak tau antara bedanya kemanusiaan dan penampungan klo bicara kemanusiaan kita bantu mreka di negaranya bukan di tampung ke indonesia goblok knpa kau masukan racun ke dlm tubuhmu hanya karena bicara kemanusiaan iiiiiiih tololnya bukan main,0
usir paksa imigran gelap rohingya keasalnya,1
pejaganya tidur idonesa ga ada tegasnya sama negara lain jadi macan kadang ya repot,1
kalau myanmar yg di salahkan lalu kenapa bangladesh juga mengungsi kemanamana,1
bikin fenyakit kutu air” kalau rohinya d tamfung terus d indonesia,1
males sama etnis yang ni muak rasanya mereka kerjasama sama inggris suruh ngungsi aja ke inggris,1
bangsa rohingya adalah bangsa paling baculada tanahair sendiri tidak mahu dipertahansanggup lari dan menumpang negara orang minta macam macam,1
jahat sekali myanmar terhadap etnis rohingnya,1
katanya ga membahas agama buktinya pake agama juga dasar munafik,1
semoga allah swt menolong saudara kita inibrallah swt menganugerahi kita bangsa indonesia dengan bnyk sekali nikmatbrtanah yg luas daratan yg sangat bnyk ribu pulau lebih yg allah swt titikan ke indonesia bahkan ribu yg baru di gunakan oleh rakyat kitabringat klu kita dzolim allah murka namun klu kita bersyukur insyaallah kasih sayang allah berupa bekhah akan selalu menyelimuti kita bangsa indonesia dari sabang sampai meraukebringatlah kita adalah suatu bangsa yg besar kita selalu membela siapa saja yg di zolimibrkita bnyk mendengar mereka pengungsi rohingya tersebut mengeluh ini dan itu saya bisa memahaminya mereka tidak pernaherasakan yg namanya senang mungkin mereka berfikir saudara di indonesia bisa sedikit membantu dan melapangkan merekamungkin itulah yg mereka fikirkan pada awalnyabrtpi sayangnya saudara kita ada yg mulai lelah berbuat baik terhadap merekabrsaya paham mungkin saudara kita yg di indonesia mulai capek karena pengungsi hanya di tampung di pengundian yg ada di indonesiabrharusnya pemerintah kita segera mencari jln keluarnyabrmungkin akan lebih bijaksana bila pemerinta mencari solusinya tidak membiarkan bangsa kita kelelahan yg berujung konflik dan juga tidak membiarkan pengungsi ini makin menderitabrsaya berdoa semoga allah swt yg maha penolong menolong kita semuanya unk menemukan jln keluar yg tidak merugikan kedua bela pihak bagaimana pun juga allah swt memperindahkan kita untuk menolong manusia apalagi mereka adalah muslimbrartinya mereka saudara seimanbrapa yg skan kita jawab nantinya jika allah swt bertanya tentang rohingya ke kita muslim infonesiabrsudahlah kita siap dengan jawabanyabrberilah kami petunjuk dan pertolongan ya allah 🤲🤲🤲,0
dilema antara kemanusiaan amp kesejahteraan nkri🙏🙏🙏,1
mohon dibantu utk volume narasi nya bisa ditambah lebih keras sedikit pak ustadz bila menggunakan headset telinga tdk kuat maklum faktor u,1
dasar rohingya gak ada akalsudah tau gak punya tanah yang dikerjakan selalu kawin beranak kawin beranak sajaseharusnya pakai pikiran kecuali gak ada otak 😈😈😈😈,1
lok dh hbz bahan novel soulland ganti novel soulland minlmyn jauh juga novelnya,1
usir rohing nya dari tanah ibu pertiwi indonesia jangan mau orang indonesia d jadikan budak sm rohing nyausir usir rohing nya,0
nenek moyangnya pengkhianat negara sekarang ditanggung keturunannya ngeri nasib pengkhianat anehnya kelakuannya ikut seperti nenekmoyangnya,1
q hanya berdoa moga allah memberi kekutan kesbaran daan tempat br bagi mereka brkita boleh gk suka sama mereka tapi ingat dia uga hamba allah br hnya pemdosa 🙏🙏🙏🙏,1
udah ada kabar kapal sedang menuju aceh harusnya udah ada persiapan dong penjaga pantai untuk mengusir org rohingnia itu kok kesannya di biarkan saja kasian warga aceh kian resah daerahnya jadi penuh penduduk gelap dari rohangnia,1
etnik rohingyah kamprek sekarang susahkan indonesia,1
