author,published_at,updated_at,like_count,text
@googleuser5826,2023-12-16T16:37:06Z,2023-12-16T16:37:06Z,0,AlJazeera can take this Rohingya people on their studio and let them stay because they are weak and tired.
@bambangtheo5640,2023-12-16T15:05:11Z,2023-12-16T15:13:08Z,0,"Indonesia has helped them alot before <br>. But look what they&#39;re doing now. They&#39;re invading us. They came illegally more and more  brought by UNHCR backed up by Amnesty international through their minions inside and outside Indonesia. No country will accept this rebellious people. Neither ours. Indonesia is a sovereign country. Our country our sovereignity!! We reject Rohinya. Neither welcome nor give em any single piece of our land for them! Never ever!! Our great grandparents fought and died for defending our country for us, our children and future generation not for Rohingya. 🇮🇩🦅"
@user-jv6bo1ok8x,2023-12-16T14:30:05Z,2023-12-16T14:30:05Z,0,"As Indian I agree to Indonesian people, these people come and settle in our country and spread violence under the name of religion"
@KittyJungleIndonesia,2023-12-16T10:38:20Z,2023-12-16T10:38:20Z,1,"We would like to clarify that based on the Republic of Indonesia Presidential Decree Reg No. 125 Concerning Handling of Refugees From Overseas as well as Immigration Law No. 6 of 2011 Article 8 Paragraph 1, Article 9 Paragraphs 1 and 2, Rohingya arrival and its method of arrival falls under the category of illegal immigrants and not refugees until proven otherwise. Simply put they aren&#39;t under chase, etc unlike what had happened to them in the past. And FYI, Indonesia did not sign the ratification of the 1951 Refugee Convention so under international law so we have every right to refuse their arrival. Especially in recent cases they have been linked to an alleged people smuggling and human trafficking network (recently there have been arrests regarding this). They first arrived in 2011 then in 2015 they reportedly started causing serious security problems such as escaping from shelters in Aceh, etc. As well as in the communities where they live in Indonesia and Malaysia because many of them were and are adult men. And economically we simply can&#39;t afford it. At the very least please interview both sides and not only UNHCR&#39;s Emily Bojovic, but also an Indonesian expert on this phenomenon before publishing it to millions of viewers, thank you. On one of their recent arrivals in Aceh, the people on the boat threw food given by local residents into the sea because the local rejected their arrival (rightfully so). Personally, that doesn&#39;t sounds like what a refugee would do.."
@masbramcoll,2023-12-16T09:52:34Z,2023-12-16T09:52:34Z,0,"Mereka adalah beban negara kami<br>Rakyat kami masih banyak yang kelaparan bahkan tidak ada rumah.<br>Mereka dengan enaknya datang ke negara kami,minta makan minta uang dan minta tempat tinggal.bahkan UNHCR minta pulau.ini sungguh gila bagi kami."
@yono935,2023-12-16T03:57:34Z,2023-12-16T03:57:34Z,0,BETER ROHINGNYA STAY IN USA
@calon_pengusaha_sukses_amiin.,2023-12-16T02:52:02Z,2023-12-16T02:52:02Z,0,Kenapa bukan negaramu yang menampung mereka 🐕 anjing. Kau banyak omong tapi tidak mau menampung mereka😏
@faizalmaulana7563,2023-12-16T00:05:45Z,2023-12-16T00:05:45Z,0,"It is the way how to protect our homeland Indonesia. Their attitude so bad, so that&#39;s why we rejected them. We helped  them many times in the past but after that,  they don&#39;t respect us, don&#39;t respect local people and local rules."
@louisemay8185,2023-12-15T23:08:58Z,2023-12-15T23:10:11Z,0,Let them in they are your brothers and sisters.  🙏🏽
@imdadulhaque5773,2023-12-15T18:45:26Z,2023-12-15T18:45:26Z,0,"Pemerintah Bangladesh telah mengakomodasi warga negara yang dideportasi dari Myanmar ini, mereka telah memberikan mereka kesempatan untuk tinggal dari sudut pandang kemanusiaan, namun sejak datang ke sini, orang-orang Rohingya ini telah terpecah menjadi beberapa kelompok dan terlibat dalam berbagai kejahatan, dan sudah mulai melakukan kejahatan. menyiksa warga Bangladesh"
@t-rexs232,2023-12-15T16:35:35Z,2023-12-15T16:35:35Z,0,Where&#39;s the brother hood&#39;s?
@ChuChuChu.,2023-12-15T14:47:24Z,2023-12-15T14:47:24Z,0,We dont want another &quot;israel&quot; happen here even they all muslim
@heppydiana7592,2023-12-15T14:42:32Z,2023-12-15T14:42:32Z,0,Imigran gelap Rohingnya tidak tahu rasa terima kasih. Mereka sering melanggar norma dan aturan adat istiadat warga Aceh yang menjalankan syariat Islam.  Kalau Rohingya adala umat muslim harusnya dia punya adab menghargai aturan yang ada di Aceh.
@Tololsapiens,2023-12-15T14:31:46Z,2023-12-15T14:31:46Z,0,F**K UNHCR....
@misfit9666,2023-12-15T14:10:48Z,2023-12-15T14:10:48Z,0,this people dont respect local people believe me
@ahmadbashirwali6549,2023-12-15T13:39:56Z,2023-12-15T13:39:56Z,0,I pray not face such a situation in my life
@personarebellia6775,2023-12-15T12:30:13Z,2023-12-15T12:30:13Z,0,"You can&#39;t say Rohingya are refugees, because they came by the method of giving some payment to the human trafficking mafia in Bangladesh. These are all categorized under illegal immigrants. Of course, as immigrants should not enter an area without clear data such as passports or visas, so Rohingya are precisely referred to as illegal immigrants. On the other hand, with Palestine or Afghanistan, they are in a state of war raging. Please understand before creating a title so that your channel is not considered a channel that has no understanding in this matter."
@RizkyMuhammadNanda-ux3ji,2023-12-15T12:21:09Z,2023-12-15T12:21:09Z,0,Kami bersimpati kepada saudara sebangsa dan saudara muslim kami orang Aceh.... semoga tetap kuat untuk menghadapi gempuran orang orang ilegal ini dan selalu diberikan kesabaran dan jangan emosi... untuk orang Rohingya jangan coba coba kalian datang ke Indonesia.... kalian belum tau kalau rakyat Indonesia marah yaa ????!!
@reynaldwibowo2342,2023-12-15T12:01:03Z,2023-12-15T12:01:03Z,0,"As an Indonesia, we&#39;re very displeased and disturbed with Rohingya Refugees, despite our attempt of giving them food and shelter, they throw them out to the sea, and complaining about the food."
@djnv9290,2023-12-15T11:04:14Z,2023-12-15T11:04:14Z,0,bakar aja kapal meraka bg . kita hdp mau makan nassi 1 piring aja susah mau tampung meraka lagi . kita kebanjiran kena seroja bantua indomie telur makan sampe tumbu bisul .meraka enak saja mkn ayam sayur lagi nasinya kurang lagi . coba meraka sandar di NTT sampe langsung kita bakar
@djnv9290,2023-12-15T11:01:29Z,2023-12-15T11:01:29Z,0,bakar kapal meraka aja bg
@pedrapgwilym1341,2023-12-15T10:47:40Z,2023-12-15T10:47:40Z,1,"This is not a Burmese problem,  it is not a British problem and it is only an Indonesian problem and a Malaysian problem in as much as they follow the same religion. It is an Islamic problem. The Rohingya never bothered to learn Burmese or any of the other indigenous languages of Myanmar, they never integrated with the country and they persistently agitated for an islamic state in Rakhine state which is clearly unacceptable to the majority there.<br><br> Furthermore they have failed to practice birth control in the camps which is why they are so overcrowded. Several hundred thousand Rohingya were BORN in the camps. <br><br>Their language is closely related to the Chittagong language in Bangladesh and they are culturally similar to Bangladeshis. One of the very few things that most of the warring factions in Myanmar agree in is that they agree with the removal of the Rohingya.The only two viable options are that they are integated into Bangladeshi society with financial support from the Islamic world or they are relocated to Islamic countries."
@Rizqan_PakeZ,2023-12-15T10:42:19Z,2023-12-15T10:42:35Z,0,"Ngapain kayak gini... enakan nyamar jadi pengungsi seperti orang bangladesh yang miskin moral serta miskin senyum modal naik perahu tanpa identitas di kasih tempat tinggal gratis, makan 3 kali sehari uang bulanan 1,25 juta TANPA KERJA bahkan kabarnya mau dikasih pulau....<br>walaupun makanan nya ga cukup tapi emang dia rakus 😂"
@supercat7064,2023-12-15T09:22:25Z,2023-12-15T09:22:25Z,0,Kami warga Indonesia masyarakat Indonesia gak mengijinkan ada pengusi di Indonesia sampai kiyamat sekalipun kami warga Indonesia ga akan ijinkan ada pengungsi luar masuk Indonesia ingat itu
@DutchComedian,2023-12-15T09:16:39Z,2023-12-15T09:16:39Z,0,When Europeans protest this behavior the are called racist.  When Asians protest this we call it common sense.  Got to love those double standards
@BkCellular,2023-12-15T07:51:57Z,2023-12-15T07:51:57Z,0,Usirrr keluar nkri
@5WatT.,2023-12-15T05:22:30Z,2023-12-15T05:22:58Z,0,"Kami negara hukum, siapa saja masuk negara kami tanpa data tidak boleh, itu sudah melanggar hukum negara kami  dan hukum internasonal. Kami punya hak atas negara kami tidak ada yang berhak mengatur hukum kami,  sebab itu rumah kami,<br>Dan perlu di mengerti  di pahami dunia negara kami tidak berikan pernyataan bahwa negara kami adalah rumah penampungan pengunsi permanen dan menetap selama nya,,,dan kami tidak layak anggaran kami ,keuangan kami dan lain lain di peruntuhkan buat pelarian pengunsi, ini bukan masalah kami ini masalah organisasi dunia yang layak seperti itu.<br>Kami bukan tak punya agama apa lagi tidak punya rasa kemanusian...KAMI HANYA MENJAGA DAN MENCINTAI  NEGRI KAMI DARI ORANG ORANG YANG TAK JELAS MENGATAS NAMAKAN AGAMA DAN KEMANUSIAAN"
