text,tokenized,tokenized_str,cluster
aljazeera can take this rohingya people on their studio and let them stay because they are weak and tired,"['aljazeer', 'tak', 'rohingy', 'peopl', 'studio', 'let', 'stay', 'weak', 'tir']",aljazeer tak rohingy peopl studio let stay weak tir,3
indonesia has helped them alot before but look what theyre doing now theyre invading us they came illegally more and more brought by unhcr backed up by amnesty international through their minions inside and outside indonesia no country will accept this rebellious people neither ours indonesia is a sovereign country our country our sovereignity we reject rohinya neither welcome nor give em any single piece of our land for them never ever our great grandparents fought and died for defending our country for us our children and future generation not for rohingya,"['indones', 'help', 'alot', 'look', 'theyr', 'theyr', 'invad', 'us', 'cam', 'illeg', 'brought', 'unhcr', 'back', 'amnesty', 'intern', 'min', 'insid', 'outsid', 'indones', 'country', 'acceiv', 'rebel', 'peopl', 'neith', 'indones', 'sovereign', 'country', 'country', 'sovereign', 'reject', 'rohiny', 'neith', 'welcom', 'giv', 'em', 'singl', 'piec', 'land', 'nev', 'ev', 'gre', 'grandp', 'fought', 'died', 'defend', 'country', 'us', 'childr', 'fut', 'gen', 'rohingy']",indones help alot look theyr theyr invad us cam illeg brought unhcr back amnesty intern min insid outsid indones country acceiv rebel peopl neith indones sovereign country country sovereign reject rohiny neith welcom giv em singl piec land nev ev gre grandp fought died defend country us childr fut gen rohingy,1
as indian i agree to indonesian people these people come and settle in our country and spread violence under the name of religion,"['ind', 'agr', 'indones', 'peopl', 'peopl', 'com', 'settl', 'country', 'spread', 'viol', 'nam', 'relig']",ind agr indones peopl peopl com settl country spread viol nam relig,1
we would like to clarify that based on the republic of indonesia presidential decree reg no concerning handling of refugees from overseas as well as immigration law no of article paragraph article paragraphs and rohingya arrival and its method of arrival falls under the category of illegal immigrants and not refugees until proven otherwise simply put they arent under chase etc unlike what had happened to them in the past and fyi indonesia did not sign the ratification of the refugee convention so under international law so we have every right to refuse their arrival especially in recent cases they have been linked to an alleged people smuggling and human trafficking network recently there have been arrests regarding this they first arrived in then in they reportedly started causing serious security problems such as escaping from shelters in aceh etc as well as in the communities where they live in indonesia and malaysia because many of them were and are adult men and economically we simply cant afford it at the very least please interview both sides and not only unhcrs emily bojovic but also an indonesian expert on this phenomenon before publishing it to millions of viewers thank you on one of their recent arrivals in aceh the people on the boat threw food given by local residents into the sea because the local rejected their arrival rightfully so personally that doesnt sounds like what a refugee would do,"['would', 'lik', 'clar', 'bas', 'republ', 'indones', 'presid', 'decr', 'reg', 'concern', 'handl', 'refug', 'oversea', 'wel', 'immigr', 'law', 'artic', 'paragraph', 'artic', 'paragraph', 'rohingy', 'ar', 'method', 'ar', 'fal', 'categ', 'illeg', 'immigr', 'refug', 'prov', 'otherw', 'simply', 'put', 'ar', 'chas', 'etc', 'unlik', 'hap', 'past', 'fyi', 'indones', 'sign', 'rat', 'refug', 'conv', 'intern', 'law', 'every', 'right', 'refus', 'ar', 'espec', 'rec', 'cas', 'link', 'alleg', 'peopl', 'smuggl', 'hum', 'traffick', 'network', 'rec', 'arrest', 'regard', 'first', 'ar', 'report', 'start', 'caus', 'sery', 'sec', 'problem', 'escap', 'shelt', 'aceh', 'etc', 'wel', 'commun', 'liv', 'indones', 'malays', 'many', 'adult', 'men', 'econom', 'simply', 'cant', 'afford', 'least', 'pleas', 'interview', 'sid', 'unhcr', 'emy', 'bojov', 'also', 'indones', 'expert', 'phenomenon', 'publ', 'mil', 'view', 'thank', 'on', 'rec', 'ar', 'aceh', 'peopl', 'boat', 'threw', 'food', 'giv', 'loc', 'resid', 'sea', 'loc', 'reject', 'ar', 'right', 'person', 'doesnt', 'sound', 'lik', 'refug', 'would']",would lik clar bas republ indones presid decr reg concern handl refug oversea wel immigr law artic paragraph artic paragraph rohingy ar method ar fal categ illeg immigr refug prov otherw simply put ar chas etc unlik hap past fyi indones sign rat refug conv intern law every right refus ar espec rec cas link alleg peopl smuggl hum traffick network rec arrest regard first ar report start caus sery sec problem escap shelt aceh etc wel commun liv indones malays many adult men econom simply cant afford least pleas interview sid unhcr emy bojov also indones expert phenomenon publ mil view thank on rec ar aceh peopl boat threw food giv loc resid sea loc reject ar right person doesnt sound lik refug would,1
mereka adalah beban negara kamirakyat kami masih banyak yang kelaparan bahkan tidak ada rumahmereka dengan enaknya datang ke negara kamiminta makan minta uang dan minta tempat tinggalbahkan unhcr minta pulauini sungguh gila bagi kami,"['merek', 'adalah', 'beb', 'negar', 'kamiraky', 'kam', 'masih', 'banyak', 'yang', 'kelap', 'bahk', 'tidak', 'ad', 'rumahmerek', 'deng', 'enakny', 'datang', 'ke', 'negar', 'kamimint', 'mak', 'mint', 'uang', 'dan', 'mint', 'temp', 'tinggalbahk', 'unhcr', 'mint', 'pulauin', 'sungguh', 'gil', 'bag', 'kam']",merek adalah beb negar kamiraky kam masih banyak yang kelap bahk tidak ad rumahmerek deng enakny datang ke negar kamimint mak mint uang dan mint temp tinggalbahk unhcr mint pulauin sungguh gil bag kam,2
beter rohingnya stay in usa,"['bet', 'rohingny', 'stay', 'us']",bet rohingny stay us,3
kenapa bukan negaramu yang menampung mereka anjing kau banyak omong tapi tidak mau menampung mereka,"['kenap', 'buk', 'negaramu', 'yang', 'menampung', 'merek', 'and', 'kau', 'banyak', 'omong', 'tap', 'tidak', 'mau', 'menampung', 'merek']",kenap buk negaramu yang menampung merek and kau banyak omong tap tidak mau menampung merek,2
it is the way how to protect our homeland indonesia their attitude so bad so thats why we rejected them we helped them many times in the past but after that they dont respect us dont respect local people and local rules,"['way', 'protect', 'homeland', 'indones', 'attitud', 'bad', 'that', 'reject', 'help', 'many', 'tim', 'past', 'dont', 'respect', 'us', 'dont', 'respect', 'loc', 'peopl', 'loc', 'rul']",way protect homeland indones attitud bad that reject help many tim past dont respect us dont respect loc peopl loc rul,1
let them in they are your brothers and sisters,"['let', 'broth', 'sist']",let broth sist,0
pemerintah bangladesh telah mengakomodasi warga negara yang dideportasi dari myanmar ini mereka telah memberikan mereka kesempatan untuk tinggal dari sudut pandang kemanusiaan namun sejak datang ke sini orangorang rohingya ini telah terpecah menjadi beberapa kelompok dan terlibat dalam berbagai kejahatan dan sudah mulai melakukan kejahatan menyiksa warga bangladesh,"['pemerintah', 'bangladesh', 'telah', 'mengakomodas', 'warg', 'negar', 'yang', 'dideportas', 'dar', 'myanm', 'in', 'merek', 'telah', 'memberik', 'merek', 'kesemp', 'untuk', 'ting', 'dar', 'sudut', 'pandang', 'kemanusia', 'namun', 'sejak', 'datang', 'ke', 'sin', 'orangorang', 'rohingy', 'in', 'telah', 'terpecah', 'menjad', 'beberap', 'kelompok', 'dan', 'terlib', 'dalam', 'berbaga', 'kejah', 'dan', 'sudah', 'mula', 'melakuk', 'kejah', 'menyiks', 'warg', 'bangladesh']",pemerintah bangladesh telah mengakomodas warg negar yang dideportas dar myanm in merek telah memberik merek kesemp untuk ting dar sudut pandang kemanusia namun sejak datang ke sin orangorang rohingy in telah terpecah menjad beberap kelompok dan terlib dalam berbaga kejah dan sudah mula melakuk kejah menyiks warg bangladesh,2
