text,tokenized,tokenized_str,cluster
aljazeera can take this rohingya people on their studio and let them stay because they are weak and tired,"['aljazeera', 'take', 'rohingya', 'people', 'studio', 'let', 'stay', 'weak', 'tired']",aljazeera take rohingya people studio let stay weak tired,1
indonesia has helped them alot before but look what theyre doing now theyre invading us they came illegally more and more brought by unhcr backed up by amnesty international through their minions inside and outside indonesia no country will accept this rebellious people neither ours indonesia is a sovereign country our country our sovereignity we reject rohinya neither welcome nor give em any single piece of our land for them never ever our great grandparents fought and died for defending our country for us our children and future generation not for rohingya,"['helped', 'alot', 'look', 'theyre', 'theyre', 'invading', 'us', 'came', 'illegally', 'brought', 'unhcr', 'backed', 'amnesty', 'international', 'minions', 'inside', 'outside', 'country', 'accept', 'rebellious', 'people', 'neither', 'sovereign', 'country', 'country', 'sovereignity', 'reject', 'rohinya', 'neither', 'welcome', 'give', 'em', 'single', 'piece', 'land', 'never', 'ever', 'great', 'grandparents', 'fought', 'died', 'defending', 'country', 'us', 'children', 'future', 'generation', 'rohingya']",helped alot look theyre theyre invading us came illegally brought unhcr backed amnesty international minions inside outside country accept rebellious people neither sovereign country country sovereignity reject rohinya neither welcome give em single piece land never ever great grandparents fought died defending country us children future generation rohingya,1
as indian i agree to indonesian people these people come and settle in our country and spread violence under the name of religion,"['indian', 'agree', 'indonesian', 'people', 'people', 'come', 'settle', 'country', 'spread', 'violence', 'name', 'religion']",indian agree indonesian people people come settle country spread violence name religion,1
we would like to clarify that based on the republic of indonesia presidential decree reg no concerning handling of refugees from overseas as well as immigration law no of article paragraph article paragraphs and rohingya arrival and its method of arrival falls under the category of illegal immigrants and not refugees until proven otherwise simply put they arent under chase etc unlike what had happened to them in the past and fyi indonesia did not sign the ratification of the refugee convention so under international law so we have every right to refuse their arrival especially in recent cases they have been linked to an alleged people smuggling and human trafficking network recently there have been arrests regarding this they first arrived in then in they reportedly started causing serious security problems such as escaping from shelters in aceh etc as well as in the communities where they live in indonesia and malaysia because many of them were and are adult men and economically we simply cant afford it at the very least please interview both sides and not only unhcrs emily bojovic but also an indonesian expert on this phenomenon before publishing it to millions of viewers thank you on one of their recent arrivals in aceh the people on the boat threw food given by local residents into the sea because the local rejected their arrival rightfully so personally that doesnt sounds like what a refugee would do,"['would', 'like', 'clarify', 'based', 'republic', 'presidential', 'decree', 'reg', 'concerning', 'handling', 'refugees', 'overseas', 'well', 'immigration', 'law', 'article', 'paragraph', 'article', 'paragraphs', 'rohingya', 'arrival', 'method', 'arrival', 'falls', 'category', 'illegal', 'immigrants', 'refugees', 'proven', 'otherwise', 'simply', 'put', 'arent', 'chase', 'etc', 'unlike', 'happened', 'past', 'fyi', 'sign', 'ratification', 'refugee', 'convention', 'international', 'law', 'every', 'right', 'refuse', 'arrival', 'especially', 'recent', 'cases', 'linked', 'alleged', 'people', 'smuggling', 'human', 'trafficking', 'network', 'recently', 'arrests', 'regarding', 'first', 'arrived', 'reportedly', 'started', 'causing', 'serious', 'security', 'problems', 'escaping', 'shelters', 'aceh', 'etc', 'well', 'communities', 'live', 'malaysia', 'many', 'adult', 'men', 'economically', 'simply', 'cant', 'afford', 'least', 'please', 'interview', 'sides', 'unhcrs', 'emily', 'bojovic', 'also', 'indonesian', 'expert', 'phenomenon', 'publishing', 'millions', 'viewers', 'thank', 'one', 'recent', 'arrivals', 'aceh', 'people', 'boat', 'threw', 'food', 'given', 'local', 'residents', 'sea', 'local', 'rejected', 'arrival', 'rightfully', 'personally', 'doesnt', 'sounds', 'like', 'refugee', 'would']",would like clarify based republic presidential decree reg concerning handling refugees overseas well immigration law article paragraph article paragraphs rohingya arrival method arrival falls category illegal immigrants refugees proven otherwise simply put arent chase etc unlike happened past fyi sign ratification refugee convention international law every right refuse arrival especially recent cases linked alleged people smuggling human trafficking network recently arrests regarding first arrived reportedly started causing serious security problems escaping shelters aceh etc well communities live malaysia many adult men economically simply cant afford least please interview sides unhcrs emily bojovic also indonesian expert phenomenon publishing millions viewers thank one recent arrivals aceh people boat threw food given local residents sea local rejected arrival rightfully personally doesnt sounds like refugee would,1
mereka adalah beban negara kamirakyat kami masih banyak yang kelaparan bahkan tidak ada rumahmereka dengan enaknya datang ke negara kamiminta makan minta uang dan minta tempat tinggalbahkan unhcr minta pulauini sungguh gila bagi kami,"['beban', 'negara', 'kamirakyat', 'kelaparan', 'rumahmereka', 'enaknya', 'negara', 'kamiminta', 'makan', 'uang', 'tinggalbahkan', 'unhcr', 'pulauini', 'sungguh', 'gila']",beban negara kamirakyat kelaparan rumahmereka enaknya negara kamiminta makan uang tinggalbahkan unhcr pulauini sungguh gila,0
beter rohingnya stay in usa,"['beter', 'stay', 'usa']",beter stay usa,0
kenapa bukan negaramu yang menampung mereka anjing kau banyak omong tapi tidak mau menampung mereka,"['negaramu', 'menampung', 'anjing', 'kau', 'omong', 'menampung']",negaramu menampung anjing kau omong menampung,0
it is the way how to protect our homeland indonesia their attitude so bad so thats why we rejected them we helped them many times in the past but after that they dont respect us dont respect local people and local rules,"['way', 'protect', 'homeland', 'attitude', 'bad', 'thats', 'rejected', 'helped', 'many', 'times', 'past', 'dont', 'respect', 'us', 'dont', 'respect', 'local', 'people', 'local', 'rules']",way protect homeland attitude bad thats rejected helped many times past dont respect us dont respect local people local rules,1
let them in they are your brothers and sisters,"['let', 'brothers', 'sisters']",let brothers sisters,0
pemerintah bangladesh telah mengakomodasi warga negara yang dideportasi dari myanmar ini mereka telah memberikan mereka kesempatan untuk tinggal dari sudut pandang kemanusiaan namun sejak datang ke sini orangorang rohingya ini telah terpecah menjadi beberapa kelompok dan terlibat dalam berbagai kejahatan dan sudah mulai melakukan kejahatan menyiksa warga bangladesh,"['pemerintah', 'bangladesh', 'mengakomodasi', 'warga', 'negara', 'dideportasi', 'myanmar', 'kesempatan', 'tinggal', 'sudut', 'pandang', 'kemanusiaan', 'orangorang', 'rohingya', 'terpecah', 'kelompok', 'terlibat', 'kejahatan', 'kejahatan', 'menyiksa', 'warga', 'bangladesh']",pemerintah bangladesh mengakomodasi warga negara dideportasi myanmar kesempatan tinggal sudut pandang kemanusiaan orangorang rohingya terpecah kelompok terlibat kejahatan kejahatan menyiksa warga bangladesh,3
wheres the brother hoods,"['wheres', 'brother', 'hoods']",wheres brother hoods,0
we dont want another israel happen here even they all muslim,"['dont', 'want', 'another', 'israel', 'happen', 'even', 'muslim']",dont want another israel happen even muslim,2
