text,tokenized,tokenized_str,cluster
budha myanmar teroris,"['budha', 'myanmar', 'teroris']",budha myanmar teroris,1
apa pun itu sejarahnya kuta tidak bole menerimah mereka etnis ini negara sudah penuh masalah jgn di tambah lagi mentang mentang se iman kita langsung tampung mereka dan akhirnya ber efek buruk pd kehidupan sosial kitasudah jgn mabuk agama lagibuka mata kita melihat pengalaman negara yg semula menampung mereka semakin hari menjadi sembraut,"['sejarahnya', 'kuta', 'bole', 'menerimah', 'etnis', 'negara', 'penuh', 'mentang', 'mentang', 'iman', 'langsung', 'tampung', 'ber', 'efek', 'buruk', 'pd', 'kehidupan', 'sosial', 'kitasudah', 'mabuk', 'agama', 'lagibuka', 'mata', 'pengalaman', 'negara', 'menampung', 'sembraut']",sejarahnya kuta bole menerimah etnis negara penuh mentang mentang iman langsung tampung ber efek buruk pd kehidupan sosial kitasudah mabuk agama lagibuka mata pengalaman negara menampung sembraut,2
km umat islam carikan solusi rohingnya kl ngomong aja sana sini cuman pidato,"['km', 'umat', 'islam', 'carikan', 'solusi', 'ngomong', 'cuman', 'pidato']",km umat islam carikan solusi ngomong cuman pidato,1
org tdk tau brsukur,"['tau', 'brsukur']",tau brsukur,1
dilihat cara berpakaian sebagian mereka serba hitam suka membuang makanan dan minuman yang diberikan dan tidak tahu syahadat mereka adalah syiah agama lokal yang diimodifikasi dengan aksesori namanama ali dan keturunan nya cara hidupnya mirip dengan orang farsipersia yang tidak mau beradaptasi dengan bangsa lain jadi kehidupan mereka berbeda dengan aturan hidup orang islam,"['berpakaian', 'serba', 'hitam', 'suka', 'membuang', 'makanan', 'minuman', 'syahadat', 'syiah', 'agama', 'lokal', 'diimodifikasi', 'aksesori', 'namanama', 'ali', 'keturunan', 'hidupnya', 'farsipersia', 'beradaptasi', 'bangsa', 'kehidupan', 'berbeda', 'aturan', 'hidup', 'islam']",berpakaian serba hitam suka membuang makanan minuman syahadat syiah agama lokal diimodifikasi aksesori namanama ali keturunan hidupnya farsipersia beradaptasi bangsa kehidupan berbeda aturan hidup islam,1
hidup di tengah laut aja di atas perahu,"['hidup', 'laut', 'perahu']",hidup laut perahu,5
trimksih atas penjelsanyasmga istadz sehat slalu,"['trimksih', 'penjelsanyasmga', 'istadz', 'sehat', 'slalu']",trimksih penjelsanyasmga istadz sehat slalu,1
di tunggu part nya pak ust,"['tunggu', 'part', 'ust']",tunggu part ust,1
menhan mana menhankok bisa mereka masuk lewat laut gimana mau menjaga nkri dari pasukan perang jika gini aja malah goyang gemoy wae malah makan siang dan nenen wae malah hutang buat beli alutista aja besar tp gak mutuuuuugumay gemoy gak puguh gayausam asem sulfatrohingnyaliat sejarahbisrael yg dikasih daerah oleh palestinsemua ulah inggris kembalikan rohingya kebiangnya indiainggrisingat resolusi jihaddi surabaya inggris dibantu suku dari indiahati mau pemilujangan sampai mereka terdaftaratau menjadi momok huru hara di nkrimenhan harus mundur jika punya maluganti sama bu susi,"['menhan', 'menhankok', 'masuk', 'laut', 'gimana', 'menjaga', 'nkri', 'pasukan', 'perang', 'gini', 'goyang', 'gemoy', 'wae', 'makan', 'siang', 'nenen', 'wae', 'hutang', 'beli', 'alutista', 'mutuuuuugumay', 'gemoy', 'puguh', 'gayausam', 'asem', 'sulfatrohingnyaliat', 'sejarahbisrael', 'dikasih', 'daerah', 'palestinsemua', 'ulah', 'inggris', 'kembalikan', 'rohingya', 'kebiangnya', 'indiainggrisingat', 'resolusi', 'jihaddi', 'surabaya', 'inggris', 'dibantu', 'suku', 'indiahati', 'pemilujangan', 'terdaftaratau', 'momok', 'huru', 'hara', 'nkrimenhan', 'mundur', 'maluganti', 'bu', 'susi']",menhan menhankok masuk laut gimana menjaga nkri pasukan perang gini goyang gemoy wae makan siang nenen wae hutang beli alutista mutuuuuugumay gemoy puguh gayausam asem sulfatrohingnyaliat sejarahbisrael dikasih daerah palestinsemua ulah inggris kembalikan rohingya kebiangnya indiainggrisingat resolusi jihaddi surabaya inggris dibantu suku indiahati pemilujangan terdaftaratau momok huru hara nkrimenhan mundur maluganti bu susi,1
y,[],,1
coba mikirnya warga nya sendiri,"['coba', 'mikirnya', 'warga']",coba mikirnya warga,1
mungkin dikasih pulau aja gitu pulau² tk berpenghuni biar mereka buat penduduk sendiri,"['dikasih', 'pulau', 'pulau²', 'tk', 'berpenghuni', 'biar', 'penduduk']",dikasih pulau pulau² tk berpenghuni biar penduduk,1
ini gambaran orang rohingya tak bisa bersosialisasu dengan orang senegaranya,"['gambaran', 'rohingya', 'bersosialisasu', 'senegaranya']",gambaran rohingya bersosialisasu senegaranya,4
ingat pendatang asing datang menjajah ke negara kita indonesia,"['pendatang', 'asing', 'menjajah', 'negara']",pendatang asing menjajah negara,2
hak asasi manusia di myanmar telah mati,"['hak', 'asasi', 'manusia', 'myanmar', 'mati']",hak asasi manusia myanmar mati,1
usirrohingyabubarkanunhcr,['usirrohingyabubarkanunhcr'],usirrohingyabubarkanunhcr,1
ini sah kesalahan keputusan pemerintahan myanmar beda dengan kita semua etnis hidup rukun dan damai,"['sah', 'kesalahan', 'keputusan', 'pemerintahan', 'myanmar', 'beda', 'etnis', 'hidup', 'rukun', 'damai']",sah kesalahan keputusan pemerintahan myanmar beda etnis hidup rukun damai,1
indonesia banyak macam agama warga indonesia bisa hidup bersama sama saling menghormati rohingya jangan kalian anggap masuk negara ini karena sesama muslim kalian menghormati kebersamaan di negara mu saja tidak bisa bagai mana kalian ingin menetap disini,"['agama', 'warga', 'hidup', 'menghormati', 'rohingya', 'anggap', 'masuk', 'negara', 'muslim', 'menghormati', 'kebersamaan', 'negara', 'mu', 'menetap']",agama warga hidup menghormati rohingya anggap masuk negara muslim menghormati kebersamaan negara mu menetap,2
pemerintah indonesia masih dungo gak tau antara bedanya kemanusiaan dan penampungan klo bicara kemanusiaan kita bantu mreka di negaranya bukan di tampung ke indonesia goblok knpa kau masukan racun ke dlm tubuhmu hanya karena bicara kemanusiaan iiiiiiih tololnya bukan main,"['pemerintah', 'dungo', 'tau', 'bedanya', 'kemanusiaan', 'penampungan', 'bicara', 'kemanusiaan', 'bantu', 'mreka', 'negaranya', 'tampung', 'goblok', 'kau', 'masukan', 'racun', 'dlm', 'tubuhmu', 'bicara', 'kemanusiaan', 'iiiiiiih', 'tololnya', 'main']",pemerintah dungo tau bedanya kemanusiaan penampungan bicara kemanusiaan bantu mreka negaranya tampung goblok kau masukan racun dlm tubuhmu bicara kemanusiaan iiiiiiih tololnya main,1
usir paksa imigran gelap rohingya keasalnya,"['usir', 'paksa', 'imigran', 'gelap', 'rohingya', 'keasalnya']",usir paksa imigran gelap rohingya keasalnya,5
pejaganya tidur idonesa ga ada tegasnya sama negara lain jadi macan kadang ya repot,"['pejaganya', 'tidur', 'idonesa', 'negara', 'macan', 'kadang', 'repot']",pejaganya tidur idonesa negara macan kadang repot,2
kalau myanmar yg di salahkan lalu kenapa bangladesh juga mengungsi kemanamana,"['myanmar', 'salahkan', 'bangladesh', 'mengungsi', 'kemanamana']",myanmar salahkan bangladesh mengungsi kemanamana,1
bikin fenyakit kutu air” kalau rohinya d tamfung terus d indonesia,"['bikin', 'fenyakit', 'kutu', 'air', '”', 'rohinya', 'tamfung']",bikin fenyakit kutu air ” rohinya tamfung,1
males sama etnis yang ni muak rasanya mereka kerjasama sama inggris suruh ngungsi aja ke inggris,"['males', 'etnis', 'muak', 'kerjasama', 'inggris', 'suruh', 'ngungsi', 'inggris']",males etnis muak kerjasama inggris suruh ngungsi inggris,1
bangsa rohingya adalah bangsa paling baculada tanahair sendiri tidak mahu dipertahansanggup lari dan menumpang negara orang minta macam macam,"['bangsa', 'rohingya', 'bangsa', 'baculada', 'tanahair', 'mahu', 'dipertahansanggup', 'lari', 'menumpang', 'negara']",bangsa rohingya bangsa baculada tanahair mahu dipertahansanggup lari menumpang negara,2
jahat sekali myanmar terhadap etnis rohingnya,"['jahat', 'myanmar', 'etnis']",jahat myanmar etnis,1
katanya ga membahas agama buktinya pake agama juga dasar munafik,"['membahas', 'agama', 'buktinya', 'pake', 'agama', 'dasar', 'munafik']",membahas agama buktinya pake agama dasar munafik,1
